"Cell Type","ids","object_id","stress_x:0","stress_x:1","stress_y:0","stress_y:1"
9,50006,0,0.99973,-0.045842,-0.045842,0.068847
9,50007,0,0.99967,-0.044193,-0.044193,0.066668
9,50008,0,0.9996,-0.042573,-0.042573,0.064553
9,50009,0,0.9995,-0.040981,-0.040981,0.062502
9,50010,0,0.99939,-0.039418,-0.039418,0.060511
9,50011,0,0.99926,-0.037884,-0.037884,0.05858
9,50012,0,0.99912,-0.03638,-0.03638,0.056706
9,50013,0,0.99896,-0.034905,-0.034905,0.054888
9,50014,0,0.99878,-0.03346,-0.03346,0.053125
9,50015,0,0.9986,-0.032045,-0.032045,0.051414
9,50016,0,0.99841,-0.030659,-0.030659,0.049754
9,50017,0,0.9982,-0.029303,-0.029303,0.048144
9,50018,0,0.99799,-0.027977,-0.027977,0.046582
9,50019,0,0.99777,-0.026679,-0.026679,0.045067
9,50020,0,0.99754,-0.025412,-0.025412,0.043597
9,50021,0,0.99731,-0.024173,-0.024173,0.042171
9,50022,0,0.99707,-0.022962,-0.022962,0.040788
9,50023,0,0.99682,-0.021781,-0.021781,0.039446
9,50024,0,0.99657,-0.020627,-0.020627,0.038144
9,50025,0,0.99632,-0.019502,-0.019502,0.036881
9,50026,0,0.99606,-0.018404,-0.018404,0.035655
