"Points:0","Points:1","Points:2","disp:0","disp:1","ids"
0.44784,0.0058965,0,0.019555,0.0039044,432
0.44993,0.0039367,0,0.019648,0.0039367,433
0.44993,0.0058981,0,0.019647,0.0039061,434
0.45201,0.0039384,0,0.01974,0.0039384,435
0.45201,0.0058998,0,0.019738,0.0039077,436
0.4541,0.0039401,0,0.019832,0.0039401,437
0.45409,0.0059015,0,0.01983,0.0039094,438
0.45618,0.0039418,0,0.019924,0.0039418,439
0.45618,0.0059032,0,0.019922,0.0039112,440
0.45826,0.0039436,0,0.020016,0.0039436,441
0.45826,0.005905,0,0.020014,0.0039129,442
0.46035,0.0039454,0,0.020108,0.0039454,443
0.46035,0.0059067,0,0.020106,0.0039147,444
0.46243,0.0039472,0,0.0202,0.0039472,445
0.46243,0.0059086,0,0.020198,0.0039165,446
0.46451,0.003949,0,0.020292,0.003949,447
0.46451,0.0059104,0,0.02029,0.0039184,448
0.4666,0.0039509,0,0.020384,0.0039509,449
0.4666,0.0059123,0,0.020382,0.0039203,450
0.46868,0.0039528,0,0.020476,0.0039528,451
0.46868,0.0059142,0,0.020474,0.0039222,452
0.47077,0.0039548,0,0.020568,0.0039548,453
0.47077,0.0059161,0,0.020566,0.0039241,454
0.47285,0.0039568,0,0.02066,0.0039568,455
0.47285,0.0059181,0,0.020658,0.0039261,456
0.47494,0.0039588,0,0.020752,0.0039588,457
0.47493,0.0059201,0,0.02075,0.0039281,458
0.47702,0.0039608,0,0.020844,0.0039608,459
0.47702,0.0059222,0,0.020842,0.0039301,460
0.4791,0.0039629,0,0.020936,0.0039629,461
0.4791,0.0059242,0,0.020934,0.0039322,462
0.48119,0.003965,0,0.021028,0.003965,463
0.48119,0.0059264,0,0.021026,0.0039343,464
0.48327,0.0039672,0,0.021121,0.0039672,465
0.48327,0.0059285,0,0.021118,0.0039365,466
0.48536,0.0039694,0,0.021213,0.0039694,467
0.48535,0.0059307,0,0.021211,0.0039386,468
0.48744,0.0039716,0,0.021305,0.0039716,469
0.48744,0.0059329,0,0.021303,0.0039409,470
0.48952,0.0039738,0,0.021397,0.0039738,471
0.48952,0.0059351,0,0.021395,0.0039431,472
0.49161,0.0039761,0,0.021489,0.0039761,473
0.49161,0.0059374,0,0.021487,0.0039454,474
0.49369,0.0039784,0,0.021581,0.0039784,475
0.49369,0.0059398,0,0.021579,0.0039477,476
0.49578,0.0039808,0,0.021673,0.0039808,477
0.49577,0.0059421,0,0.021671,0.0039501,478
0.49786,0.0039832,0,0.021766,0.0039832,479
0.49786,0.0059445,0,0.021763,0.0039525,480
0.49995,0.0039856,0,0.021858,0.0039856,481
0.49994,0.0059469,0,0.021855,0.0039549,482
0.50203,0.0039881,0,0.02195,0.0039881,483
0.50203,0.0059494,0,0.021947,0.0039574,484
0.50411,0.0039906,0,0.022042,0.0039906,485
0.50411,0.0059519,0,0.02204,0.0039599,486
0.5062,0.0039932,0,0.022134,0.0039932,487
0.5062,0.0059545,0,0.022132,0.0039624,488
0.50828,0.0039957,0,0.022226,0.0039957,489
0.50828,0.0059571,0,0.022224,0.003965,490
0.51037,0.0039984,0,0.022319,0.0039984,491
0.51036,0.0059597,0,0.022316,0.0039677,492
0.51245,0.0040011,0,0.022411,0.0040011,493
0.51245,0.0059624,0,0.022408,0.0039703,494
0.51453,0.0040038,0,0.022503,0.0040038,495
0.51453,0.0059651,0,0.0225,0.0039731,496
0.51662,0.0040066,0,0.022595,0.0040066,497
0.51662,0.0059679,0,0.022592,0.0039759,498
0.5187,0.0040095,0,0.022687,0.0040095,499
0.5187,0.0059708,0,0.022684,0.0039788,500
0.52079,0.0040125,0,0.022779,0.0040125,501
0.52078,0.0059739,0,0.022776,0.0039818,502
0.52287,0.0040158,0,0.022871,0.0040158,503
0.52287,0.0059771,0,0.022868,0.0039851,504
0.0021295,0.0040957,0,0.00013748,0.00011163,505
0,0.0039841,0,0,0,506
0.0042661,0.0042195,0,0.000282,0.00023543,507
0.0064052,0.0043392,0,0.00042912,0.0003551,508
0.0085394,0.0044492,0,0.00057124,0.00046513,509
0.010668,0.0045512,0,0.00070735,0.00056709,510
0.01279,0.0046464,0,0.00083786,0.00066231,511
0.014908,0.004736,0,0.0009635,0.00075193,512
0.017021,0.0048209,0,0.001085,0.00083681,513
0.019131,0.0049017,0,0.0012028,0.00091759,514
0.021238,0.0049788,0,0.0013175,0.00099476,515
0.023342,0.0050528,0,0.0014296,0.0010687,516
0.025444,0.0051238,0,0.0015392,0.0011398,517
0.027543,0.0051922,0,0.0016467,0.0012082,518
0.029641,0.0052582,0,0.0017523,0.0012741,519
0.031737,0.0053219,0,0.0018562,0.0013379,520
0.033831,0.0053836,0,0.0019586,0.0013995,521
0.035924,0.0054433,0,0.0020596,0.0014592,522
0.038016,0.0055011,0,0.0021594,0.0015171,523
0.040107,0.0055573,0,0.002258,0.0015732,524
0.042196,0.0056118,0,0.0023555,0.0016277,525
0.044285,0.0056647,0,0.0024522,0.0016806,526
0.046373,0.0057162,0,0.0025479,0.0017321,527
