"disp:0","disp:1","mesh_model_coordinates:0","mesh_model_coordinates:1","mesh_model_coordinates:2","stress_x:0","stress_x:1","stress_y:0","stress_y:1"
0.019506,-8.5238e-05,0.020205,-0.2416,0,0.77961,-0.018697,-0.018697,0.041491
0.019699,-8.5509e-05,0.025447,-0.24164,0,0.79138,-0.017717,-0.017717,0.043825
0.019894,-8.5691e-05,0.030663,-0.24167,0,0.80262,-0.0168,-0.0168,0.04618
0.020092,-8.5788e-05,0.035879,-0.24171,0,0.81334,-0.015941,-0.015941,0.048562
0.020293,-8.5803e-05,0.041122,-0.24175,0,0.82355,-0.015138,-0.015138,0.050977
0.020493,-8.5731e-05,0.046269,-0.24178,0,0.83322,-0.014391,-0.014391,0.053421
0.020695,-8.558e-05,0.051415,-0.24182,0,0.84245,-0.013691,-0.013691,0.055919
0.020902,-8.5352e-05,0.056635,-0.24186,0,0.85131,-0.01303,-0.01303,0.058491
0.021108,-8.5044e-05,0.061782,-0.2419,0,0.85977,-0.012411,-0.012411,0.061126
0.021316,-8.4661e-05,0.066929,-0.24193,0,0.86784,-0.011829,-0.011829,0.063834
0.021527,-8.4202e-05,0.072096,-0.24197,0,0.87562,-0.011276,-0.011276,0.066648
0.021743,-8.3664e-05,0.077357,-0.24201,0,0.88316,-0.01075,-0.01075,0.069586
0.021961,-8.305e-05,0.082628,-0.24204,0,0.89042,-0.01025,-0.01025,0.072643
0.02218,-8.236e-05,0.087891,-0.24208,0,0.89734,-0.0097783,-0.0097783,0.075794
0.022397,-8.1602e-05,0.093068,-0.24212,0,0.90393,-0.0093346,-0.0093346,0.07903
0.022615,-8.0772e-05,0.09822,-0.24216,0,0.91021,-0.0089145,-0.0089145,0.082372
0.022836,-7.9866e-05,0.10342,-0.24219,0,0.91627,-0.008513,-0.008513,0.085855
0.023059,-7.8883e-05,0.10864,-0.24223,0,0.92209,-0.0081291,-0.0081291,0.089476
0.02328,-7.7835e-05,0.11378,-0.24227,0,0.92766,-0.007763,-0.007763,0.093225
0.023503,-7.6708e-05,0.11897,-0.2423,0,0.93298,-0.0074128,-0.0074128,0.097109
0.023725,-7.552e-05,0.12408,-0.24234,0,0.938,-0.0070809,-0.0070809,0.10107
0.023935,-7.4307e-05,0.12893,-0.24238,0,0.9427,-0.0067679,-0.0067679,0.10508
0.024151,-7.3009e-05,0.13386,-0.24242,0,0.94722,-0.006465,-0.006465,0.10927
0.024373,-7.161e-05,0.13894,-0.24245,0,0.95159,-0.0061685,-0.0061685,0.11365
0.024586,-7.0189e-05,0.14379,-0.24249,0,0.95572,-0.0058826,-0.0058826,0.11814
0.024803,-6.8679e-05,0.14871,-0.24253,0,0.9597,-0.0056027,-0.0056027,0.12285
0.025029,-6.7043e-05,0.15382,-0.24256,0,0.96355,-0.0053251,-0.0053251,0.12781
0.025244,-6.5397e-05,0.15868,-0.2426,0,0.96721,-0.0050533,-0.0050533,0.13294
0.025469,-6.3609e-05,0.16376,-0.24264,0,0.9707,-0.004785,-0.004785,0.1383
0.025688,-6.1781e-05,0.16869,-0.24268,0,0.97399,-0.0045205,-0.0045205,0.14384
0.025904,-5.9898e-05,0.17353,-0.24271,0,0.97708,-0.0042601,-0.0042601,0.14958
0.026128,-5.7864e-05,0.17857,-0.24275,0,0.98004,-0.0039983,-0.0039983,0.15561
0.026347,-5.5785e-05,0.18347,-0.24279,0,0.9828,-0.0037369,-0.0037369,0.16188
0.026565,-5.3621e-05,0.18835,-0.24282,0,0.98537,-0.0034773,-0.0034773,0.16835
0.026781,-5.1378e-05,0.19319,-0.24286,0,0.98775,-0.0032167,-0.0032167,0.1751
0.027,-4.9011e-05,0.1981,-0.2429,0,0.98998,-0.0029522,-0.0029522,0.18219
0.027221,-4.652e-05,0.20304,-0.24294,0,0.99202,-0.0026839,-0.0026839,0.18962
0.027437,-4.3968e-05,0.20788,-0.24297,0,0.99389,-0.0024118,-0.0024118,0.19744
0.027665,-4.1159e-05,0.21301,-0.24301,0,0.99559,-0.0021328,-0.0021328,0.20577
0.027887,-3.8291e-05,0.218,-0.24305,0,0.99707,-0.001854,-0.001854,0.21444
0.028102,-3.5377e-05,0.22285,-0.24309,0,0.99834,-0.0015834,-0.0015834,0.22344
0.028327,-3.2202e-05,0.22791,-0.24312,0,0.99941,-0.0013248,-0.0013248,0.23297
0.028546,-2.8955e-05,0.23286,-0.24316,0,1.0002,-0.0011325,-0.0011325,0.24298
0.028763,-2.6498e-05,0.2378,-0.24295,0,1.0007,-0.00099279,-0.00099279,0.25346
0.028977,-2.3629e-05,0.24267,-0.24274,0,1.0007,-0.00075943,-0.00075943,0.26155
0.02897,-4.0401e-05,0.24264,-0.23758,0,1.0003,-0.00045149,-0.00045149,0.26379
0.028959,-5.7975e-05,0.24262,-0.23225,0,1.0002,-0.00025436,-0.00025436,0.26272
0.028946,-7.5592e-05,0.24259,-0.227,0,1.0002,-0.00020928,-0.00020928,0.26142
0.028931,-9.2218e-05,0.24256,-0.22214,0,1.0002,-0.0002363,-0.0002363,0.25995
0.028913,-0.00010922,0.24254,-0.21729,0,1.0002,-0.00027536,-0.00027536,0.25826
0.028892,-0.0001274,0.24251,-0.21222,0,1.0002,-0.00029278,-0.00029278,0.25627
0.028868,-0.00014708,0.24248,-0.2069,0,1.0002,-0.00029639,-0.00029639,0.25397
0.028841,-0.00016653,0.24245,-0.2018,0,1.0002,-0.00031621,-0.00031621,0.25146
0.028813,-0.00018568,0.24243,-0.19694,0,1.0002,-0.00033603,-0.00033603,0.24876
0.028781,-0.00020685,0.2424,-0.19175,0,1.0002,-0.00032775,-0.00032775,0.24576
0.028745,-0.00022925,0.24237,-0.18646,0,1.0002,-0.00031412,-0.00031412,0.24248
0.028709,-0.00025112,0.24235,-0.18149,0,1.0002,-0.00030101,-0.00030101,0.23903
0.028668,-0.00027492,0.24232,-0.17628,0,1.0002,-0.00026369,-0.00026369,0.23533
0.028625,-0.00030004,0.24229,-0.17099,0,1.0003,-0.0002172,-0.0002172,0.23141
0.028582,-0.00032453,0.24226,-0.16604,0,1.0003,-0.00016637,-0.00016637,0.22736
0.028534,-0.00035133,0.24224,-0.16083,0,1.0003,-0.00010031,-0.00010031,0.22313
0.028486,-0.00037844,0.24221,-0.15576,0,1.0003,-2.8577e-05,-2.8577e-05,0.21871
0.028434,-0.00040696,0.24218,-0.15064,0,1.0003,5.7866e-05,5.7866e-05,0.21411
0.028379,-0.00043791,0.24216,-0.1453,0,1.0003,0.00017093,0.00017093,0.20924
0.028321,-0.00047017,0.24213,-0.13995,0,1.0003,0.00030214,0.00030214,0.20421
0.028262,-0.00050293,0.2421,-0.13473,0,1.0003,0.00043148,0.00043148,0.19918
0.028205,-0.00053516,0.24207,-0.12978,0,1.0003,0.00056618,0.00056618,0.19413
0.028142,-0.00057085,0.24205,-0.1245,0,1.0003,0.00072729,0.00072729,0.1889
0.028078,-0.00060739,0.24202,-0.11928,0,1.0004,0.00089874,0.00089874,0.18361
0.028016,-0.00064347,0.24199,-0.11431,0,1.0004,0.0010766,0.0010766,0.17833
0.027949,-0.00068262,0.24197,-0.1091,0,1.0004,0.0012643,0.0012643,0.17303
0.027885,-0.00072039,0.24194,-0.10424,0,1.0004,0.0014607,0.0014607,0.16771
0.027815,-0.00076216,0.24191,-0.099027,0,1.0004,0.0016747,0.0016747,0.16234
0.027747,-0.00080339,0.24188,-0.094044,0,1.0004,0.0018923,0.0018923,0.15701
0.02768,-0.00084477,0.24186,-0.089189,0,1.0004,0.0021117,0.0021117,0.15174
0.027609,-0.00088931,0.24183,-0.084111,0,1.0004,0.0023432,0.0023432,0.1464
0.027537,-0.00093494,0.2418,-0.079055,0,1.0004,0.0025884,0.0025884,0.14095
0.02746,-0.00098443,0.24178,-0.073722,0,1.0004,0.0028509,0.0028509,0.13538
0.027381,-0.0010356,0.24175,-0.068363,0,1.0004,0.003127,0.003127,0.12978
0.027303,-0.001088,0.24172,-0.063017,0,1.0004,0.0034078,0.0034078,0.12427
0.027225,-0.00114,0.24169,-0.057849,0,1.0004,0.0036851,0.0036851,0.11896
0.02715,-0.0011915,0.24167,-0.052861,0,1.0004,0.003957,0.003957,0.11386
0.027076,-0.0012434,0.24164,-0.047936,0,1.0004,0.0042259,0.0042259,0.10893
0.027002,-0.0012957,0.24161,-0.043081,0,1.0004,0.0044941,0.0044941,0.1041
0.026925,-0.0013504,0.24159,-0.038109,0,1.0003,0.0047712,0.0047712,0.099228
0.026844,-0.0014099,0.24156,-0.03281,0,1.0003,0.0050652,0.0050652,0.094263
0.026762,-0.001471,0.24153,-0.027477,0,1.0003,0.0053642,0.0053642,0.089373
0.026683,-0.00153,0.2415,-0.022422,0,1.0003,0.0056544,0.0056544,0.084693
0.026603,-0.0015911,0.24148,-0.01729,0,1.0003,0.0059511,0.0059511,0.080115
0.026522,-0.0016552,0.24148,-0.011949,0,1.0003,0.0062453,0.0062453,0.075562
0.018935,-0.00012603,0.0046328,-0.23725,0,0.74324,-0.033381,-0.033381,0.033269
0.018756,-0.00013239,-0.00043899,-0.23647,0,0.72999,-0.036203,-0.036203,0.030704
0.019114,-0.00012676,0.009706,-0.23731,0,0.75624,-0.031157,-0.031157,0.035735
0.019299,-0.00012737,0.014843,-0.23736,0,0.7688,-0.029509,-0.029509,0.038109
